Date,Ozone,NO2,PM2.5,CO,season_spring,season_summer,season_fall,is_weekend,is_covid,traffic_daily_total,temperature_2m_max,wind_speed_10m_max_(km/h),precipitation_sum_(mm),relative_humidity_2m_max_(%),daylight_duration_(s),sunshine_duration_(s),rain_sum_(mm),snowfall_sum_(cm),wind_direction_10m_dominant_(°),et0_fao_evapotranspiration_(mm),shortwave_radiation_sum_(mj/m²),dew_point_2m_max,cloud_cover_max_(%),cloud_cover_mean_(%),pressure_msl_max_(hpa),surface_pressure_max_(hpa),vapour_pressure_deficit_max_(kpa),int_traffic_temp,int_traffic_wind,int_traffic_precip,int_traffic_humidity
2012-01-22,0.025,30.9,13.7,0.5,0,0,0,1,0,-0.2535764375876578,-1.175,-0.2045454545454546,0.0,-0.2,-0.7976572845688976,-0.7513211220981721,0.0,0.0,-1.26875,-0.6806083650190115,-0.5975609756097561,-0.9407894736842106,0.0,-0.0980392156862745,1.5806451612903352,1.5326086956521754,-0.75,0.29795231416549794,0.05186790768838457,-0.0,0.050715287517531564
2012-01-23,0.022,40.8,12.9,0.7,0,0,0,0,0,0.8102384291725105,-0.55,-0.2272727272727275,0.5652173913043479,0.5333333333333333,-0.788636345396031,-1.6335019741905048,0.6842105263157895,0.0,-0.81875,-0.7984790874524715,-1.0,-0.1907894736842105,0.0,0.7254901960784313,1.365591397849474,1.326086956521754,-0.78,-0.44563113604488086,-0.1841450975392071,0.45796085127141906,0.4321271622253389
2012-01-24,0.015,30.6,20.6,0.7,0,0,0,0,0,0.6435133239831697,-0.43125,-0.2386363636363638,1.0,0.6,-0.7794059342370333,-0.1633004559393938,1.2105263157894737,0.0,0.05,-0.4942965779467681,-0.3943089430894308,-0.1710526315789473,0.0,0.196078431372549,-0.1827956989247247,-0.2065217391304462,-0.36,-0.27751512096774195,-0.1535656795868929,0.6435133239831697,0.38610799438990184
2012-01-25,0.02,30.6,14.8,0.5,0,0,0,0,0,0.6647615708274894,-0.675,-0.4659090909090911,0.0,-0.4,-0.7699788922864553,-0.1002747624590565,0.0,0.0,0.38125,-0.4334600760456274,-0.2780487804878048,-0.7368421052631579,0.0,-0.196078431372549,0.7634408602150722,0.7282608695652154,-0.37,-0.4487140603085554,-0.309718459135535,0.0,-0.26590462833099576
2012-01-26,0.007,29.3,15.8,0.6,0,0,0,0,0,0.6435483870967742,-0.8812500000000001,-0.897727272727273,1.4782608695652175,0.2666666666666666,-0.7603688633135103,-1.605182201734813,1.6315789473684212,0.35,-1.18125,-0.7642585551330799,-0.9634146341463414,-0.618421052631579,0.0,0.7254901960784313,0.5161290322580622,0.4782608695652184,-0.66,-0.5671270161290323,-0.5777309384164225,0.9513323983169706,0.1716129032258064
2012-01-27,0.024,43.4,15.6,1.0,0,0,0,1,0,0.6107293127629734,-0.21875,0.5795454545454544,6.130434782608696,0.6666666666666666,-0.7505902936620688,-1.3596565179224016,7.421052631578948,0.0,-0.19375,-0.7338403041825096,-0.9869918699186992,0.1578947368421052,0.0,0.5882352941176471,-0.2795698924731098,-0.31521739130436,-0.56,-0.1335970371669004,0.3539453971694504,3.744036221720837,0.40715287517531557
2012-01-28,0.03,37.1,11.7,0.7,0,0,0,1,0,-0.3862552594670406,-0.61875,0.5340909090909091,0.0,-0.2666666666666666,-0.7406544193773632,-0.0847939958311905,0.0,0.0,0.2125,-0.311787072243346,-0.2999999999999999,-0.6907894736842105,-1.0,-0.6274509803921569,-0.2580645161290311,-0.2934782608695723,-0.38,0.23899544179523138,-0.20629542266989667,-0.0,0.10300140252454414
2012-02-11,0.029,31.1,19.6,0.4,0,0,0,1,0,1.1436535764375877,-0.8375,-0.6590909090909093,1.347826086956522,0.0,-0.5888169246944205,-1.4685207493029429,0.1052631578947368,2.1,0.63125,-0.6007604562737643,-0.6878048780487805,-0.7828947368421053,0.0,0.7450980392156863,-0.4408602150537558,-0.4782608695652308,-0.5700000000000001,-0.9578098702664797,-0.7537716753793193,1.5414461247637055,0.0
2012-02-12,0.032,22.3,8.4,0.3,0,0,0,1,0,1.3567321178120617,-0.98125,1.2500000000000002,0.0,-1.7333333333333334,-0.5769428326070036,-0.1440859362612971,0.0,0.0,0.53125,-0.2243346007604563,-0.2658536585365853,-1.0263157894736843,0.0,0.4117647058823529,-0.8064516129032298,-0.8586956521739293,-0.46,-1.3312933906030855,1.6959151472650775,0.0,-2.3516690042075736
2012-02-13,0.028,40.0,11.1,0.4,0,0,0,0,0,1.5551542776998597,-0.7375,0.4318181818181815,0.0,-2.0,-0.5649579852165756,0.0356669128765172,0.0,0.0,0.21875,-0.1520912547528517,-0.0048780487804878,-1.1381578947368425,-35.0,-1.1176470588235294,-0.23655913978494,-0.2826086956521785,-0.3099999999999999,-1.1469262798036466,0.6715438926431208,0.0,-3.1103085553997194
2012-02-14,0.024,48.4,16.3,0.6,0,0,0,0,0,1.5921107994389905,-0.6312500000000001,-0.2613636363636364,0.0,-0.6,-0.5528760262923466,-0.1767978475329388,0.0,0.0,-0.0375,-0.349809885931559,-0.3512195121951219,-0.7302631578947368,0.0,0.4117647058823529,0.0645161290322608,0.0326086956521692,-0.29,-1.005019942145863,-0.41611986803519074,0.0,-0.9552664796633943
